index,name,psnr,mae,rmse,ssim,corr,theta_l2,uncertainty,warp_rgb_mae,selection_role
0,84,15.98996639251709,0.09799706935882568,0.1586725115776062,0.6775884628295898,0.8337306200036543,0.05756215378642082,0.6917725801467896,0.0941852554678917,psnr_quantile_3_of_6
1,161,15.157519340515137,0.08670814335346222,0.17463208734989166,0.7026081085205078,0.8562107152897201,0.02101767249405384,0.701411783695221,0.13756878674030304,psnr_quantile_2_of_6
2,341,16.92909049987793,0.08443337678909302,0.14241164922714233,0.5757192373275757,0.8718799789692334,0.02725565806031227,0.7095645666122437,0.10538207739591599,
3,124,13.970783233642578,0.13542012870311737,0.20019853115081787,0.42431607842445374,0.6798729768135304,0.027655690908432007,0.703307032585144,0.06169508397579193,
4,312,17.179777145385742,0.06924045830965042,0.13836020231246948,0.7036683559417725,0.922493219854187,0.04856543615460396,0.6986963152885437,0.10178233683109283,
5,416,17.73609733581543,0.08116712421178818,0.1297762244939804,0.5353482961654663,0.8770975266738874,0.03856043145060539,0.6969928741455078,0.10513796657323837,
6,66,14.57820987701416,0.12103988975286484,0.18667642772197723,0.47853708267211914,0.7729958738377014,0.020833270624279976,0.7014436721801758,0.11822164803743362,
7,128,16.675926208496094,0.07149621844291687,0.14662353694438934,0.6363983750343323,0.9129679966988357,0.038615018129348755,0.6908143758773804,0.11253976076841354,
8,336,16.258642196655273,0.0773879885673523,0.15383951365947723,0.6060900688171387,0.8609256858333032,0.04607086628675461,0.6884989738464355,0.12477542459964752,
9,0,14.367559432983398,0.12968766689300537,0.19125907123088837,0.36949029564857483,0.7420890488152776,0.05235546454787254,0.6864351034164429,0.09303274005651474,
10,70,16.520458221435547,0.0983339175581932,0.14927156269550323,0.5018109083175659,0.876990235459963,0.02363758161664009,0.7082956433296204,0.13120843470096588,
11,319,17.086149215698242,0.06717067211866379,0.13985967636108398,0.6577157974243164,0.9090609623666789,0.034641046077013016,0.697009801864624,0.09285211563110352,
12,444,15.180903434753418,0.1146811991930008,0.17416256666183472,0.437321275472641,0.718471293482254,0.04221188649535179,0.710551381111145,0.11197774112224579,
13,420,17.345121383666992,0.08440719544887543,0.13575127720832825,0.5281965732574463,0.8762046926292316,0.026600394397974014,0.7083666324615479,0.0997091755270958,
14,326,16.935243606567383,0.07542354613542557,0.14231078326702118,0.5968611240386963,0.8703979476710704,0.02586652711033821,0.7055133581161499,0.13513225317001343,psnr_quantile_4_of_6
