run,arch,dataset,eval_dataset,seed,train_sigma,eval_sigma,translation_frac,rotation_deg,scale_frac,target_normalization,lambda_warp_rgb,epochs,res,batch_size,train_count,val_count,final_val_mae,final_val_psnr,final_val_ssim,final_val_corr,final_theta_l2,final_flow_l2,final_flow_tv,final_warp_rgb_mae,final_uncertainty,delta_vs_no_registration,knox_path
week5_transfer_no_registration_aa_to_kust4k_robust_seed42_e30,no_registration,ann_arbor,kust4k,42,0.3,0.3,0.2,20.0,0.25,robust,0.0,30,256,6,336,283,0.2643746321382455,9.902385819505888,0.38625472694530083,0.2912834101895059,0.0,0.0,0.0,0.08877496815514291,0.0,,week5_runs/week5_transfer_no_registration_aa_to_kust4k_robust_seed42_e30
week5_transfer_affine_lam0p5_aa_to_kust4k_robust_seed42_e30,input_rgb_affine,ann_arbor,kust4k,42,0.3,0.3,0.2,20.0,0.25,robust,0.5,30,256,6,336,283,0.24810106452067412,10.306177457735311,0.4145700065386169,0.36907297874649564,0.04609405050422773,0.0,0.0,0.06381623538561579,0.45761819347054716,0.4037916382294231,week5_runs/week5_transfer_affine_lam0p5_aa_to_kust4k_robust_seed42_e30
week5_transfer_no_registration_kust4k_to_aa_robust_seed42_e20,no_registration,kust4k,ann_arbor,42,0.3,0.3,0.2,20.0,0.25,robust,0.0,20,256,8,1970,41,0.2620875177586951,10.168349219531548,0.41456242886985223,0.2601471989262999,0.0,0.0,0.0,0.15248021210839108,0.0,,week5_runs/week5_transfer_no_registration_kust4k_to_aa_robust_seed42_e20
week5_transfer_affine_lam0p5_kust4k_to_aa_robust_seed42_e20,input_rgb_affine,kust4k,ann_arbor,42,0.3,0.3,0.2,20.0,0.25,robust,0.5,20,256,8,1970,41,0.2558450513496632,10.250197619926638,0.41600279909808463,0.30383142209273756,0.04012277202180973,0.0,0.0,0.10857597429577898,0.3351192848711479,0.08184840039509034,week5_runs/week5_transfer_affine_lam0p5_kust4k_to_aa_robust_seed42_e20
week5_transfer_no_registration_kust4k_to_cart_robust_seed42_e20,no_registration,kust4k,caltech_cart,42,0.3,0.3,0.2,20.0,0.25,robust,0.0,20,256,8,1970,222,0.2724918389508316,10.054367593816808,0.4434501044116579,-0.02271168175100801,0.0,0.0,0.0,0.08883561149474468,0.0,,week5_runs/week5_transfer_no_registration_kust4k_to_cart_robust_seed42_e20
week5_transfer_affine_lam0p5_kust4k_to_cart_robust_seed42_e20,input_rgb_affine,kust4k,caltech_cart,42,0.3,0.3,0.2,20.0,0.25,robust,0.5,20,256,8,1970,222,0.27531777134349755,9.85938717008711,0.43483999566183434,-0.004288678285830518,0.039887596899224026,0.0,0.0,0.06125925344138129,0.29884821005366946,-0.1949804237296977,week5_runs/week5_transfer_affine_lam0p5_kust4k_to_cart_robust_seed42_e20
week5_transfer_no_registration_cart_to_kust4k_robust_seed42_e20,no_registration,caltech_cart,kust4k,42,0.3,0.3,0.2,20.0,0.25,robust,0.0,20,256,8,1822,283,0.2837197882758434,9.672153771134232,0.3939319217689467,-0.12731034367937413,0.0,0.0,0.0,0.08877496815514291,0.0,,week5_runs/week5_transfer_no_registration_cart_to_kust4k_robust_seed42_e20
week5_transfer_affine_lam0p5_cart_to_kust4k_robust_seed42_e20,input_rgb_affine,caltech_cart,kust4k,42,0.3,0.3,0.2,20.0,0.25,robust,0.5,20,256,8,1822,283,0.29618232578776327,9.264400894987288,0.3786241185749378,-0.15050898410374314,0.05691890956590433,0.0,0.0,0.06223590213877922,0.39665896356000496,-0.4077528761469438,week5_runs/week5_transfer_affine_lam0p5_cart_to_kust4k_robust_seed42_e20
