run,arch,dataset,eval_dataset,seed,train_sigma,eval_sigma,translation_frac,rotation_deg,scale_frac,target_normalization,lambda_warp_rgb,epochs,res,batch_size,train_count,val_count,final_val_mae,final_val_psnr,final_val_ssim,final_val_corr,final_theta_l2,final_flow_l2,final_flow_tv,final_warp_rgb_mae,final_uncertainty,delta_vs_no_registration,knox_path
week5_no_registration_ann_arbor_sigma03_amp_robust_seed42_e30,no_registration,ann_arbor,ann_arbor,42,0.3,0.3,0.2,20.0,0.25,robust,0.0,30,256,6,336,41,0.11262166881706656,15.217970033971275,0.5267591040308882,0.7896330918880834,0.0,0.0,0.0,0.15248021210839108,0.0,,week5_runs/week5_no_registration_ann_arbor_sigma03_amp_robust_seed42_e30
week5_input_rgb_affine_warprgb0p5_ann_arbor_sigma03_amp_robust_seed42_e30,input_rgb_affine,ann_arbor,ann_arbor,42,0.3,0.3,0.2,20.0,0.25,robust,0.5,30,256,6,336,41,0.10280906899673183,15.680713514002358,0.5400909156334109,0.8137286858654948,0.03633813814419072,0.0,0.0,0.11027229277462494,0.6367046113421277,0.462743480031083,week5_runs/week5_input_rgb_affine_warprgb0p5_ann_arbor_sigma03_amp_robust_seed42_e30
week5_no_registration_ann_arbor_sigma03_amp_robust_seed7_e30,no_registration,ann_arbor,ann_arbor,7,0.3,0.3,0.2,20.0,0.25,robust,0.0,30,256,6,336,41,0.10467370672196877,15.656105855616127,0.5387202530372434,0.8112133973367176,0.0,0.0,0.0,0.15601158560049244,0.0,,week5_runs/week5_no_registration_ann_arbor_sigma03_amp_robust_seed7_e30
week5_input_rgb_affine_warprgb0p5_ann_arbor_sigma03_amp_robust_seed7_e30,input_rgb_affine,ann_arbor,ann_arbor,7,0.3,0.3,0.2,20.0,0.25,robust,0.5,30,256,6,336,41,0.10335282599780618,15.720957686261434,0.5408356269685234,0.8113516475628586,0.03811226394481775,0.0,0.0,0.10421641479905058,0.6436841386120494,0.06485183064530631,week5_runs/week5_input_rgb_affine_warprgb0p5_ann_arbor_sigma03_amp_robust_seed7_e30
week5_no_registration_ann_arbor_sigma03_amp_robust_seed123_e30,no_registration,ann_arbor,ann_arbor,123,0.3,0.3,0.2,20.0,0.25,robust,0.0,30,256,6,336,41,0.10785813466077898,15.51005437897473,0.5339539087400204,0.801326311537446,0.0,0.0,0.0,0.15129007853385879,0.0,,week5_runs/week5_no_registration_ann_arbor_sigma03_amp_robust_seed123_e30
week5_input_rgb_affine_warprgb0p5_ann_arbor_sigma03_amp_robust_seed123_e30,input_rgb_affine,ann_arbor,ann_arbor,123,0.3,0.3,0.2,20.0,0.25,robust,0.5,30,256,6,336,41,0.10271595282162108,15.673642042206556,0.5420581909214578,0.8100585025306419,0.0357190792607825,0.0,0.0,0.09958084790808398,0.6383701352084555,0.1635876632318265,week5_runs/week5_input_rgb_affine_warprgb0p5_ann_arbor_sigma03_amp_robust_seed123_e30
