family,label,run,kind,dataset,eval_dataset,arch,seed,target_normalization,loss_recipe,disable_uncertainty_weight,train_sigma,eval_sigma,lambda_warp_rgb,lambda_ssim,lambda_edge,lambda_affine,epochs,train_count,val_count,final_mae,final_rmse,final_psnr,final_ssim,final_corr,final_theta_l2,final_uncertainty,final_warp_rgb_mae,path
convnext_no_reg,ConvNeXt no-reg,week6_convnext_unet_no_registration_ann_arbor_robust_sigma03_seed42_e50,json,ann_arbor,ann_arbor,no_registration,42,robust,registration,False,0.3,0.3,0.0,0.25,0.1,0.02,50,336,41,0.10474618905928076,0.16718788136069368,15.636505964325696,0.536197171705525,0.8119595981421817,0.0,0.0,0.15248021210839108,week6_runs/week6_convnext_unet_no_registration_ann_arbor_robust_sigma03_seed42_e50
convnext_no_reg,ConvNeXt no-reg,week7_convnext_no_registration_ann_arbor_robust_sigma03_seed7_e50,json,ann_arbor,ann_arbor,no_registration,7,robust,registration,False,0.3,0.3,0.0,0.25,0.1,0.02,50,336,41,0.09764043132706386,0.15967228663403812,16.062413285418256,0.5503898771797738,0.8301460177143888,0.0,0.0,0.15601158560049244,week7_runs/week7_convnext_no_registration_ann_arbor_robust_sigma03_seed7_e50
convnext_no_reg,ConvNeXt no-reg,week7_convnext_no_registration_ann_arbor_robust_sigma03_seed123_e50,json,ann_arbor,ann_arbor,no_registration,123,robust,registration,False,0.3,0.3,0.0,0.25,0.1,0.02,50,336,41,0.10040969183532203,0.16235244601238064,15.91830002389303,0.5441721481520955,0.8223290943719618,0.0,0.0,0.15129007853385879,week7_runs/week7_convnext_no_registration_ann_arbor_robust_sigma03_seed123_e50
convnext_affine_unc,ConvNeXt affine + uncertainty,week5_matched_compute_aa_affine_lam0p5_robust_seed42_e50,json,ann_arbor,ann_arbor,input_rgb_affine,42,robust,registration,False,0.3,0.3,0.5,0.25,0.1,0.02,50,336,41,0.09869335464588026,0.1619051291448314,15.920215327565263,0.5485820726650518,0.8283597041377533,0.038000049614688246,0.5675481877675871,0.10598876240958528,week5_runs/week5_matched_compute_aa_affine_lam0p5_robust_seed42_e50
convnext_affine_unc,ConvNeXt affine + uncertainty,week7_convnext_affine_lam0p5_ann_arbor_robust_sigma03_seed7_e50,json,ann_arbor,ann_arbor,input_rgb_affine,7,robust,registration,False,0.3,0.3,0.5,0.25,0.1,0.02,50,336,41,0.09431697137472106,0.15521414341723047,16.315446714075602,0.5564204032828168,0.839109793420168,0.04001674219602492,0.5519120511485309,0.09988329477789926,week7_runs/week7_convnext_affine_lam0p5_ann_arbor_robust_sigma03_seed7_e50
convnext_affine_unc,ConvNeXt affine + uncertainty,week7_convnext_affine_lam0p5_ann_arbor_robust_sigma03_seed123_e50,json,ann_arbor,ann_arbor,input_rgb_affine,123,robust,registration,False,0.3,0.3,0.5,0.25,0.1,0.02,50,336,41,0.09680167985398595,0.15785890690437177,16.162208301265064,0.5541679895505672,0.8336430332551754,0.03829350726815259,0.5718837293182931,0.09756559951276314,week7_runs/week7_convnext_affine_lam0p5_ann_arbor_robust_sigma03_seed123_e50
swin_no_reg,Swin-T no-reg,week6_swin_unet_ann_arbor_robust_sigma03_seed42_e50,swin_csv,ann_arbor,ann_arbor,no_registration,42,robust,swin_combined,,0.3,0.3,0.0,,,0.0,50,336,41,0.0964825388680144,0.15868730999917977,16.123163598002375,0.5664815146748613,0.8341625226847319,0.0,,0.0,week6_runs/ann_arbor/week6_swin_unet_ann_arbor_robust_sigma03_seed42_e50
swin_no_reg,Swin-T no-reg,week7_swin_no_registration_ann_arbor_robust_sigma03_seed7_e50,swin_csv,ann_arbor,ann_arbor,no_registration,7,robust,swin_combined,,0.3,0.3,0.0,,,0.02,50,336,41,0.09421128443465,0.15483352335032635,16.33470794488728,0.5670731394756131,0.8406866628837508,0.0,,0.0,week7_runs/ann_arbor/week7_swin_no_registration_ann_arbor_robust_sigma03_seed7_e50
swin_no_reg,Swin-T no-reg,week7_swin_no_registration_ann_arbor_robust_sigma03_seed123_e50,swin_csv,ann_arbor,ann_arbor,no_registration,123,robust,swin_combined,,0.3,0.3,0.0,,,0.02,50,336,41,0.09728778835113455,0.1573586556603789,16.227542657170087,0.5654374368307067,0.836139944152096,0.0,,0.0,week7_runs/ann_arbor/week7_swin_no_registration_ann_arbor_robust_sigma03_seed123_e50
swin_affine,Swin-T affine,week7_swin_affine_lam0p5_ann_arbor_robust_sigma03_seed42_e50,swin_csv,ann_arbor,ann_arbor,input_rgb_affine,42,robust,swin_combined,,0.3,0.3,0.5,,,0.02,50,336,41,0.0980451982014063,0.16066110831130842,16.001003798060278,0.5665380700332362,0.8331128016589443,0.03554084250794315,,0.11022094201023985,week7_runs/ann_arbor/week7_swin_affine_lam0p5_ann_arbor_robust_sigma03_seed42_e50
swin_affine,Swin-T affine,week7_swin_affine_lam0p5_ann_arbor_robust_sigma03_seed7_e50,swin_csv,ann_arbor,ann_arbor,input_rgb_affine,7,robust,swin_combined,,0.3,0.3,0.5,,,0.02,50,336,41,0.09261144706752242,0.15249904566170935,16.507224387992093,0.57586303644064,0.8458813659539941,0.03900531697564009,,0.10156563042504031,week7_runs/ann_arbor/week7_swin_affine_lam0p5_ann_arbor_robust_sigma03_seed7_e50
swin_affine,Swin-T affine,week7_swin_affine_lam0p5_ann_arbor_robust_sigma03_seed123_e50,swin_csv,ann_arbor,ann_arbor,input_rgb_affine,123,robust,swin_combined,,0.3,0.3,0.5,,,0.02,50,336,41,0.0996322954391561,0.16133347992543925,15.984067340020022,0.5621705963844206,0.8301126049227615,0.0262390293362664,,0.12877398365881385,week7_runs/ann_arbor/week7_swin_affine_lam0p5_ann_arbor_robust_sigma03_seed123_e50
convnext_no_reg_swin_loss,ConvNeXt no-reg with Swin loss,week7_convnext_no_registration_swinloss_ann_arbor_robust_sigma03_seed42_e50,json,ann_arbor,ann_arbor,no_registration,42,robust,swin_combined,False,0.3,0.3,0.0,0.25,0.1,0.02,50,336,41,0.09936826748818886,0.16267586208698226,15.874664329900973,0.5471771373981382,0.8258516044917382,0.0,0.0,0.15248021210839108,week7_runs/week7_convnext_no_registration_swinloss_ann_arbor_robust_sigma03_seed42_e50
