model,mae,rmse,psnr,ssim,corr,clpips
ensemble,0.07050766845667127,0.11476854107683838,19.114238724850193,0.705400690288827,0.9043404010503638,0.34996234205099613
a2_gan,0.074487288362614,0.12213767065417648,18.58552378475076,0.6796523013917526,0.8918047306777108,0.3039062170699091
a1_rgb,0.07521819843366595,0.12359917682069953,18.450802160961793,0.6973100263293427,0.8895412025921827,0.3682132730684658
a4_physics8,0.07702474995045969,0.12764325778525654,18.136900434399596,0.6907894747091992,0.8829301200488484,0.3904887005539224
a1_rgbda,0.07760204976000408,0.12847667843988625,18.10080114213547,0.6913986318182237,0.8808217150826462,0.39195581178854005
a4_physics,0.08407797177534292,0.13789384140826688,17.383486799674458,0.6775638605698501,0.8629395229017275,0.43291124775268064
a1_rgbd,0.08470041487402845,0.13921364238209064,17.306201618496733,0.6770102529242488,0.8613681539697329,0.4381510314374867
a1_small,0.08510113158954842,0.13890246246563326,17.324193420976695,0.6763859305641439,0.8606939339842944,0.4454802906159127
a1_unreg,0.09066411057985065,0.14538097768874453,16.935321751207407,0.6675117039444423,0.8436283686282908,0.4996301131968451
